시점,합계,컴퓨터 및 주변기기,가전·전자·통신기기,서적,사무·문구,의복,신발,가방,패션용품 및 액세서리,스포츠·레저용품,화장품,아동·유아용품,음·식료품,농축수산물,생활용품,자동차 및 자동차용품,가구,애완용품,여행 및 교통서비스,문화 및 레저서비스,e쿠폰서비스,음식서비스,기타서비스,기타
2018. 04,5405460,165240,524596,52865,26145,630323,113580,136272,131549,169509,438758,234743,525617,144262,437644,49851,165191,47974,731940,97095,112090,318369,33421,118425
2018. 05,5677178,166676,578323,47734,24464,648036,115010,142386,131286,193374,457152,225249,553977,148502,456275,51080,163161,47039,796285,91742,137108,355920,29302,117098
2018. 06,5457951,151440,539531,45257,23319,607131,108990,131338,124943,191456,439341,199563,533452,145068,442828,48528,153625,51652,786901,94653,130958,374849,28634,104495
2018. 07,5944021,164775,676637,57737,24920,597582,106288,141822,139706,215110,443006,215258,568131,149306,481341,55245,159115,53975,899752,100614,139718,415437,31983,106564
2018. 08,5770559,169705,535814,57276,24461,501473,87067,135402,127241,176711,459509,207562,603681,160790,470832,51583,157881,50031,909075,138171,152998,453319,33127,106850
2018. 09,5613108,155899,451538,50715,24862,604591,92588,134965,112025,178000,456801,205124,649172,183571,452938,47628,158782,48060,749872,109445,168207,423648,37839,116839
2018. 10,6242938,165626,559968,51156,29782,857624,113895,140222,123842,232078,492829,231320,611763,158130,516271,53262,193892,48566,742626,125104,168555,460967,35564,129898
2018. 11,6588089,192882,664944,56107,33099,927971,130879,136635,131490,223624,512836,230956,621073,170752,526203,55994,192546,48551,747692,113638,199645,468405,32916,169252
2018. 12,6754848,206895,573086,65657,38890,880877,124855,153599,151613,199688,520553,292866,610357,173774,516470,56612,181287,48227,824163,127346,227077,577758,34672,168526
2019. 01,6817328,232016,611551,73920,37433,653845,102086,151766,133863,165312,572616,237986,796103,269825,557289,61383,187910,52633,904380,98877,204146,568558,35746,108084
2019. 02,6201706,237163,578935,63967,33966,574960,103257,162258,127988,150020,561471,217104,593161,164432,496403,50653,184617,45431,830402,113392,207319,566204,34027,104577
2019. 03,7089023,219156,756020,81975,38063,770960,131109,176296,144911,192918,609446,256428,696293,192821,578305,63498,205141,51353,798643,102617,223209,639833,38262,121766
2019. 04,6716261,189807,610496,61239,36190,739473,126046,163407,140228,205397,579626,257972,710012,195328,527740,58413,189071,51858,808109,105113,197050,637236,36933,89517
2019. 05,7182767,176325,719082,55150,33876,778175,133233,169509,157272,240235,593608,258008,747270,196679,565994,63207,186633,53419,875280,103309,240829,692525,44706,98440
2019. 06,6890105,148657,688858,52055,30694,693361,126674,161773,149156,217734,569708,228542,703854,190836,544587,59477,180435,55761,871038,137409,226581,722286,43805,86824
2019. 07,7237325,171823,708286,66886,33219,682223,127793,155097,161154,231926,589441,236846,734948,199602,564752,58536,173145,55767,994070,122460,246695,773268,51758,97630
2019. 08,7342882,178221,687235,65476,32838,564575,102668,170164,146760,201643,606331,233726,808494,217195,586206,61443,186216,55364,1034627,123257,255559,857555,70896,96433
2019. 09,7291464,174623,634009,65084,34068,755340,122879,174824,146480,205431,618749,244722,823544,247714,577839,74993,199190,57337,836955,83400,242452,799765,59355,112710
2019. 10,7752837,170182,674287,58084,39956,903280,129679,180964,142827,246005,655866,264669,827011,224229,616337,64363,223859,63472,888311,91494,266750,854572,57826,108815
2019. 11,8459530,221639,789341,63125,42511,1117449,154452,176678,153004,259311,680151,277017,838922,231804,637539,67121,223689,62941,889622,118599,323632,965853,56116,109016
2019. 12,8382632,214960,694448,79550,53476,942040,134564,187674,172999,219167,700083,333894,840785,241793,628739,66041,219652,62290,977716,116169,304831,991679,86448,113636
2020. 01,8216486,238309,685416,82439,42788,683647,114382,157219,142129,174758,652755,264560,997631,315880,681455,65217,208218,63714,972843,102660,276030,997216,86860,210358
2020. 02,8095495,278782,784721,88641,49820,620807,118697,156933,129232,180929,620778,309813,1069156,321804,822821,78169,252348,65049,459690,35845,292809,1066239,88266,204146
2020. 03,8484646,304573,826010,123680,51998,782030,138803,168962,128844,234317,450057,328583,1203192,390677,903970,87503,308180,68810,254940,16582,304032,1179983,38638,190282
2020. 04,8010536,280447,767352,98270,46965,751587,134375,149861,116162,275653,365424,312823,1105314,338417,764902,84478,283403,67818,342227,20416,298651,1185478,70880,149633
2020. 05,8685679,246569,942818,77605,47679,887471,170792,173519,134693,319037,410641,323628,1085139,321211,826618,94084,282845,69205,434106,36162,299199,1232449,56747,213462
2020. 06,8450639,210993,927580,79271,44571,871165,165119,186234,136218,316903,414836,293868,1036453,304447,833898,95622,279513,66741,458177,31763,271653,1184977,56611,184027
2020. 07,8752677,240302,842591,88038,46552,718354,145265,183858,144458,327468,404300,297078,1148604,327982,878804,102898,266893,73843,615014,53281,275542,1305390,63903,202260
2020. 08,9329112,261989,1030839,96318,43626,587937,120118,175686,134442,278661,402403,299524,1216328,365015,944770,99520,293284,72051,611093,45161,303874,1592008,96286,258180
2020. 09,9472207,266509,889874,105396,49505,744125,128754,174129,117317,302901,440750,308491,1459915,503688,904018,97959,320242,74400,431356,30579,351585,1529446,60981,180287
2020. 10,9503756,227738,986053,79516,53193,1053679,155518,185255,121415,372247,441619,311686,1217403,365581,866070,93194,322488,76057,521749,51033,298375,1477912,57834,168140
2020. 11,10190966,286321,1146215,93638,57155,1128543,176927,191000,129181,356150,486511,311410,1289991,376431,899288,121261,315001,75784,524515,40525,340209,1572472,72186,200252
2020. 12,11073743,325899,1144449,127634,75978,974699,158830,194812,151922,312926,517825,412937,1478857,477308,1013666,125728,347823,83563,372483,7813,378919,2110493,66875,212305
2021. 01,10601468,343664,1175808,131758,58932,721019,115948,181101,129486,260243,501187,326787,1590713,538740,950970,110109,348700,82060,405916,22273,383584,1962140,90464,169868
2021. 02,9923997,347097,1070065,105075,54276,689446,129558,191549,125472,245599,486163,302957,1385491,480298,861202,94521,323999,73615,449767,48369,430140,1762829,100385,166125
2021. 03,11091698,329691,1093087,129266,62302,986986,180971,227463,147304,339241,538874,372820,1464250,456030,974765,109113,366153,82488,484565,54431,423956,1905301,150986,211655
2021. 04,10812501,283863,1075521,93651,56283,917654,159139,218686,150258,385923,531056,383524,1462032,463382,940659,119506,327715,81568,525501,53968,396267,1921330,83115,181899
2021. 05,11465075,310212,1226140,89991,51289,927280,177583,218185,161315,382610,563259,386079,1513395,476683,983897,125001,322586,84733,589709,63840,443981,2082368,94550,190391
2021. 06 p),10973902,252017,1176387,90530,48533,939820,177021,203225,151935,367897,543197,356175,1443500,450326,971298,119150,311365,85347,607540,77515,426527,1919738,108828,146032
2021. 07 p),11713942,285956,1363973,113847,47902,871640,155075,205676,157012,380587,534904,373662,1524572,478594,1024262,119466,313095,87208,599421,56722,430895,2316952,113826,158695
